id,jurisdiction,category,violation,law_text,statute,penalty,severity,preventive_tip,keywords,topic,subtopic,scenario_key,rule_summary,thresholds,penalty_structure,confidence
MA001,Massachusetts,Traffic Flow,Failure to Yield at Rotary,Operators entering a rotary intersection shall yield the right-of-way to any vehicle already in the intersection.,MGL Ch. 89 § 8,$100 fine (estimated),medium,Traffic inside the rotary always has the right of way. Do not force entry.,"['rotary', 'roundabout', 'yield']",right_of_way,rotary_yield,rotary_entry_ma,Must yield to vehicles already within the rotary.,[],{'fine_est_usd': 100},medium
MA002,Massachusetts,Vehicle Equipment,Failure to Inspect Vehicle,Every motor vehicle... shall be inspected once each year.,MGL Ch. 90 § 20,"$50 fine, plus surcharges and potential insurance points",low,Check your sticker month; inspections expire on the last day of the month.,"['inspection sticker', 'vehicle check', 'sticker']",vehicle_compliance,annual_inspection,expired_inspection_ma,Vehicles must display a valid annual inspection sticker.,"[{'type': 'frequency', 'value': 1, 'unit': 'year'}]",{'fine_usd': 50},high
MA003,Massachusetts,Speed Limits,Speeding (Basic Rule & Thickly Settled),No person shall run a motor vehicle at a rate of speed greater than is reasonable and proper...,MGL Ch. 90 § 17,$105 minimum; $10 per mph over limit,medium,"In 'thickly settled' districts (houses <200ft apart), limit is 30mph unless posted.","['speeding', 'thickly settled', 'reasonable proper']",speeding,thickly_settled,speeding_ma_settled,Speed must be reasonable; default 30mph in thickly settled areas.,"[{'type': 'default_limit', 'value': 30, 'unit': 'mph'}]","{'fine_min_usd': 105, 'calculation': '$10 per mph excess'}",high
CA001,California,Speed Limits,Unsafe speed for conditions (Basic Speed Law),"No person shall drive a vehicle upon a highway at a speed greater than is reasonable or prudent having due regard for weather, visibility, traffic, and surface conditions.",California Vehicle Code § 22350,"$238+ fine, 1 point",medium,"Even if the limit is 65, slow down if it's raining or foggy.","['speeding', 'basic speed law', 'weather']",speeding,basic_speed_law,speeding_basic_ca,"Speed must be reasonable for current conditions, regardless of posted limit.","[{'type': 'condition_dependent', 'value': 'reasonable', 'unit': 'standard'}]","{'fine_min_usd': 238, 'points_fixed': 1}",high
CA002,California,Lanes,HOV Lane Violation,No person shall drive a vehicle on strictly preferential use lanes (carpool) unless that vehicle carries the requisite number of occupants.,California Vehicle Code § 21655.5,$490 minimum fine,medium,Check the diamond lane signs; hours and occupancy rules vary.,"['carpool', 'HOV', 'diamond lane']",lane_usage,hov_violation,hov_lane_violation_ca,Solo drivers cannot use HOV lanes during active hours.,"[{'type': 'occupancy_min', 'value': 2, 'unit': 'persons'}]",{'fine_min_usd': 490},high
CA003,California,Phone Use,Handheld Device Use,A person shall not drive a motor vehicle while holding and operating a handheld wireless telephone or an electronic wireless communications device.,California Vehicle Code § 23123.5,"$20 base fine (1st offense), but fees make it ~$160+",high,Mount your phone on the dash; holding it is illegal even at stoplights.,"['cell phone', 'handheld', 'distracted']",distracted_driving,handheld_ban,phone_handheld_ca,Holding a phone while driving is prohibited.,[],"{'fine_est_total_usd': 162, 'points_range': [0, 1]}",high
NY001,New York,Safety/Emergency,Move Over Law,Drivers must exercise due care to avoid colliding with an authorized emergency vehicle... by moving from the lane adjacent to the shoulder or slowing down.,NY VTL § 1144-a,"$275 fine + surcharge, 2 points (First Offense)",high,"If you see flashing lights on the shoulder, move left or slow down immediately.","['move over', 'emergency vehicle', 'police']",road_safety,move_over_law,emergency_shoulder_ny,Must change lanes or slow down significantly for stopped emergency vehicles.,[],"{'fine_usd': 275, 'points_fixed': 2}",high
NY002,New York,Phone Use,Use of Portable Electronic Devices (Texting),No person shall operate a motor vehicle while using any portable electronic device while such vehicle is in motion.,NY VTL § 1225-d,$50-$200 fine + 5 points,high,NY is strict on points for texting (5 points). Do not touch the phone.,"['texting', 'data', '5 points']",distracted_driving,texting_ban,texting_driving_ny,Strict prohibition on using devices for data/texting while moving.,[],"{'fine_max_usd': 200, 'points_fixed': 5}",high
NY003,New York,School Buses,Passing a Stopped School Bus,The driver of a vehicle shall stop before reaching the school bus when... a red visual signal is in operation.,NY VTL § 1174,"$250-$400 fine, 5 points, possible imprisonment",critical,Stop for red flashing bus lights from either direction (unless divided highway).,"['school bus', 'stop arm', 'children']",school_safety,school_bus_stop,school_bus_passing_ny,Illegal to pass a stopped school bus displaying red lights.,[],"{'fine_min_usd': 250, 'points_fixed': 5}",high
TX001,Texas,Speed Limits,Speeding (Prima Facie),A speed in excess of the limits specified... is prima facie evidence that the speed is not reasonable and prudent.,Texas Transportation Code § 545.352,Varies by county (typically $200+),medium,Speed limits are 'prima facie'—you can be ticketed for unsafe speed even below the limit.,"['prima facie', 'speeding', 'reasonable']",speeding,prima_facie_limit,speeding_tx_prima,Exceeding posted limits is evidence of unreasonable speed.,[],"{'fine_range_est': [150, 300]}",high
